employee_id,attendance_id,attendance_date,clock_in,clock_out,task_id,task_name,tasks_completed,task_status,employee_name,department,designation,joining_date,work_hours,effective_work_hours,productivity_score
102,12,2026-06-02,2026-06-02 09:25:00,2026-06-02 17:30:00,12,employee onboarding,4,completed,priya,hr,executive,2022-06-15,8.083333333333334,7.083333333333334,0.5647058823529412
104,14,2026-06-02,2026-06-02 10:30:00,2026-06-02 16:45:00,4,social media campaign,3,pending,sana,marketing,associate,2024-02-01,6.25,5.25,0.5714285714285714
104,4,2026-06-01,2026-06-01 10:15:00,2026-06-01 17:00:00,4,social media campaign,3,pending,sana,marketing,associate,2024-02-01,6.75,5.75,0.5217391304347826
109,9,2026-06-01,2026-06-01 08:45:00,2026-06-01 18:10:00,9,sales target review,10,completed,ajay,sales,manager,2021-11-11,9.416666666666666,8.416666666666666,1.1881188118811883
106,16,2026-06-02,2026-06-02 09:15:00,2026-06-02 18:00:00,16,bug fixing,9,completed,meena,it,tester,2023-05-18,8.75,7.75,1.1612903225806452
103,3,2026-06-01,2026-06-01 09:05:00,2026-06-01 18:15:00,13,financial planning,9,completed,karthik,finance,analyst,2021-08-20,9.166666666666666,8.166666666666666,1.1020408163265307
102,2,2026-06-01,2026-06-01 09:20:00,2026-06-01 17:45:00,12,employee onboarding,4,completed,priya,hr,executive,2022-06-15,8.416666666666666,7.416666666666666,0.5393258426966293
108,8,2026-06-01,2026-06-01 09:30:00,2026-06-01 17:40:00,18,training coordination,5,completed,divya,hr,recruiter,2024-01-05,8.166666666666666,7.166666666666666,0.6976744186046512
101,1,2026-06-01,2026-06-01 09:00:00,2026-06-01 18:00:00,11,attendance report,7,completed,arun,it,developer,2023-01-10,9.0,8.0,0.875
107,17,2026-06-02,2026-06-02 09:05:00,2026-06-02 18:15:00,7,audit review,9,completed,vikram,finance,accountant,2022-09-22,9.166666666666666,8.166666666666666,1.1020408163265307
105,15,2026-06-02,2026-06-02 08:55:00,2026-06-02 17:40:00,15,inventory tracking,8,completed,rahul,sales,executive,2023-07-12,8.75,7.75,1.032258064516129
108,18,2026-06-02,2026-06-02 09:40:00,2026-06-02 17:20:00,18,training coordination,5,completed,divya,hr,recruiter,2024-01-05,7.666666666666667,6.666666666666667,0.75
101,11,2026-06-02,2026-06-02 09:05:00,2026-06-02 18:00:00,11,attendance report,7,completed,arun,it,developer,2023-01-10,8.916666666666666,7.916666666666666,0.8842105263157896
107,7,2026-06-01,2026-06-01 09:00:00,2026-06-01 18:20:00,7,audit review,9,completed,vikram,finance,accountant,2022-09-22,9.333333333333334,8.333333333333334,1.0799999999999998
103,13,2026-06-02,2026-06-02 09:00:00,2026-06-02 18:10:00,13,financial planning,9,completed,karthik,finance,analyst,2021-08-20,9.166666666666666,8.166666666666666,1.1020408163265307
109,19,2026-06-02,2026-06-02 08:50:00,2026-06-02 18:05:00,9,sales target review,10,completed,ajay,sales,manager,2021-11-11,9.25,8.25,1.2121212121212122
105,5,2026-06-01,2026-06-01 08:50:00,2026-06-01 17:30:00,15,inventory tracking,8,completed,rahul,sales,executive,2023-07-12,8.666666666666666,7.666666666666666,1.0434782608695652
